Base,k,n,N,pVal,AvgCompetitiveRatio,StdDev,BatchSize
CBIP,2,50,100,0.05,1.91,0.2586503431275512,
CBIP,2,100,100,0.05,1.985,0.2688401011754013,
CBIP,2,150,100,0.05,2.005,0.2692118125194361,
CBIP,2,200,100,0.05,2.045,0.2132486811213612,
CBIP,2,300,100,0.05,2.06,0.276405499221705,
CBIP,2,400,100,0.05,2.05,0.229128784747792,
CBIP,2,500,100,0.05,2.035,0.2669737814842499,
CBIP,2,600,100,0.05,2.045,0.2459166525471587,
CBIP,2,700,100,0.05,2.07,0.2238302928559939,
CBIP,2,800,100,0.05,2.07,0.2451530134426252,
CBIP,2,900,100,0.05,2.06,0.2477902338672773,
CBIP,2,1000,100,0.05,2.05,0.206155281280883,
CBIP,2,50,100,0.1,1.76,0.3277193921634788,
CBIP,2,100,100,0.1,1.78,0.3187475490101845,
CBIP,2,150,100,0.1,1.845,0.2889204042638733,
CBIP,2,200,100,0.1,1.79,0.3014962686336267,
CBIP,2,300,100,0.1,1.875,0.2947456530637899,
CBIP,2,400,100,0.1,1.865,0.3525265947414464,
CBIP,2,500,100,0.1,1.86,0.3006659275674582,
CBIP,2,600,100,0.1,1.87,0.2794637722496424,
CBIP,2,700,100,0.1,1.83,0.31,
CBIP,2,800,100,0.1,1.88,0.3171750305430741,
CBIP,2,900,100,0.1,1.84,0.298998327754521,
CBIP,2,1000,100,0.1,1.855,0.2940663190506522,
CBIP,2,50,100,0.2,1.465,0.3824591481452627,
CBIP,2,100,100,0.2,1.56,0.3760319135392633,
CBIP,2,150,100,0.2,1.56,0.3555277766926235,
CBIP,2,200,100,0.2,1.56,0.3891015291668744,
CBIP,2,300,100,0.2,1.545,0.3879110722833263,
CBIP,2,400,100,0.2,1.55,0.3708099243547831,
CBIP,2,500,100,0.2,1.585,0.3539420856580918,
CBIP,2,600,100,0.2,1.565,0.3511053972812152,
CBIP,2,700,100,0.2,1.635,0.3525265947414464,
CBIP,2,800,100,0.2,1.61,0.3433656942677879,
CBIP,2,900,100,0.2,1.535,0.3623189202898463,
CBIP,2,1000,100,0.2,1.55,0.3708099243547831,
CBIP,2,50,100,0.3,1.35,0.3570714214271425,
CBIP,2,100,100,0.3,1.4,0.406201920231798,
CBIP,2,150,100,0.3,1.325,0.3491060010942235,
CBIP,2,200,100,0.3,1.295,0.332377797092405,
CBIP,2,300,100,0.3,1.375,0.3191786333700926,
CBIP,2,400,100,0.3,1.4,0.3391164991562634,
CBIP,2,500,100,0.3,1.33,0.3689173349139343,
CBIP,2,600,100,0.3,1.355,0.333878720495931,
CBIP,2,700,100,0.3,1.405,0.3787809393303734,
CBIP,2,800,100,0.3,1.315,0.3365635155509283,
CBIP,2,900,100,0.3,1.335,0.3395217224272991,
CBIP,2,1000,100,0.3,1.41,0.3961060464067671,
